Site,Long,Lat,Elevation,year_start,year_end,years_data,PFT
AR-SLu,-66.4598,-33.4648,887,2009,2011,3,MF
AR-TF1,-66.7335,-54.9733,40,2016,2018,3,WET
AR-Vir,-56.1886,-28.2395,74,2009,2012,4,NF
AT-Neu,11.3175,47.1167,970,2002,2012,11,GRA
AU-Ade,131.1178,-13.0769,188,2007,2009,3,SAV
AU-ASM,133.249,-22.283,615,2010,2013,4,NF
AU-Cpr,140.5891,-34.0021,51,2010,2014,5,SAV
AU-Cum,150.7225,-33.6133,107,2012,2014,3,EBF
AU-DaP,131.3181,-14.0633,160,2007,2013,7,GRA
AU-DaS,131.3881,-14.1593,160,2008,2014,7,SAV
AU-Dry,132.3706,-15.2588,204,2008,2014,7,SAV
AU-Emr,148.4746,-23.8587,220,2011,2013,3,GRA
AU-Fog,131.3072,-12.5452,90,2006,2008,3,WET
AU-Gin,115.7138,-31.3764,127,2011,2014,4,SAV
AU-GWW,120.6541,-30.1913,511,2013,2014,2,SAV
AU-How,131.1523,-12.4943,6,2001,2014,14,SAV
AU-Lox,140.6551,-34.4704,51,2008,2009,2,DBF
AU-RDF,132.4776,-14.5636,187,2011,2013,3,SAV
AU-Rig,145.5759,-36.6499,278,2011,2014,4,GRA
AU-Rob,145.6301,-17.1175,492,2014,2014,1,EBF
AU-Stp,133.3502,-17.1507,240,2008,2014,7,GRA
AU-TTE,133.64,-22.287,609,2012,2013,2,SH
AU-Tum,148.1517,-35.6566,817,2001,2014,14,EBF
AU-Wac,145.1878,-37.4259,309,2005,2008,4,EBF
AU-Whr,145.0294,-36.6732,164,2011,2014,4,EBF
AU-Wom,144.0944,-37.4222,705,2010,2012,3,EBF
AU-Ync,146.2907,-34.9893,133,2012,2014,3,GRA
BE-Bra,4.5206,51.3092,16,1996,2014,19,MF
BE-Dor,4.968113,50.311874,247,2011,2020,10,GRA
BE-Lcr,3.85043,51.11218,6.25,2019,2020,2,DBF
BE-Lon,4.7461,50.5516,167,2004,2014,11,CRO
BE-Maa,5.631851,50.97987,87,2016,2020,5,SH
BE-Vie,5.9981,50.3051,493,1996,2014,19,MF
BR-CST,-38.3842,-7.9682,468,2014,2015,2,NF
BR-Npw,-56.412,-16.498,120,2013,2017,5,SAV
BR-Sa1,-54.9589,-2.8567,88,2002,2011,10,EBF
BR-Sa3,-54.9714,-3.018,100,2000,2004,5,EBF
CA-ARB,-83.9452,52.695,90,2011,2015,5,WET
CA-ARF,-83.955,52.7008,88,2011,2015,5,WET
CA-Ca1,-125.3336,49.8673,300,1996,2010,15,NF
CA-Ca2,-125.2909,49.8705,300,1999,2010,12,NF
CA-Cbo,-79.9333,44.3167,120,1994,2020,27,DBF
CA-DB2,-122.9951,49.119,4,2019,2020,2,WET
CA-DBB,-122.9849,49.1293,4,2014,2020,7,WET
CA-ER1,-80.4123,43.6405,370,2015,2020,6,CRO
CA-Gro,-82.1556,48.2167,340,2003,2014,12,MF
CA-LP1,-122.8414,55.1119,751,2007,2020,14,NF
CA-MA1,-97.8762,50.1645,261,2009,2011,3,CRO
CA-MA2,-97.8762,50.171,261,2009,2011,3,CRO
CA-MA3,-97.8686,50.1774,261,2009,2011,3,GRA
CA-Man,-98.4808,55.8796,259,1994,2008,15,NF
CA-NS1,-98.4839,55.8792,260,2001,2005,5,NF
CA-NS2,-98.5247,55.9058,260,2001,2005,5,NF
CA-NS3,-98.3822,55.9117,260,2001,2005,5,NF
CA-NS4,-98.3806,55.9144,260,2001,2005,5,NF
CA-NS5,-98.485,55.8631,260,2001,2005,5,NF
CA-NS6,-98.9644,55.9167,244,2001,2005,5,SH
CA-NS7,-99.9483,56.6358,297,2001,2005,5,SH
CA-Oas,-106.1978,53.6289,530,1996,2010,15,DBF
CA-Obs,-105.1178,53.9872,629,1996,2010,15,NF
CA-Qfo,-74.3421,49.6925,382,2003,2010,8,NF
CA-SF1,-105.8176,54.485,536,2003,2006,4,NF
CA-SF2,-105.8775,54.2539,520,2001,2006,6,NF
CA-SF3,-106.0053,54.0916,540,2001,2006,6,SH
CA-TP1,-80.5595,42.6609,265,2002,2017,16,NF
CA-TP2,-80.4588,42.7744,212,2002,2008,7,NF
CA-TP3,-80.3483,42.7068,184,2002,2017,16,NF
CA-TP4,-80.3574,42.7102,184,2002,2015,14,NF
CA-TPD,-80.5577,42.6353,260,2012,2017,6,DBF
CG-Tch,11.6564,-4.2892,82,2006,2006,1,SAV
CH-Aws,9.790417,46.583306,1988,2006,2020,15,GRA
CH-Cha,8.4104,47.2102,393,2005,2014,10,GRA
CH-Dav,9.8559,46.8153,1639,1997,2014,18,NF
CH-Fru,8.5378,47.1158,982,2005,2014,10,GRA
CH-Lae,8.365,47.4781,689,2004,2014,11,MF
CH-Oe1,7.7319,47.2858,450,2002,2008,7,GRA
CH-Oe2,7.7343,47.2863,452,2004,2014,11,CRO
CN-Cha,128.0958,42.4025,1057,2003,2005,3,MF
CN-Cng,123.5092,44.5934,130,2007,2010,4,GRA
CN-Dan,91.0664,30.4978,4764,2004,2005,2,GRA
CN-Din,112.5361,23.1733,70,2003,2005,3,EBF
CN-Du2,116.2836,42.0467,1353,2006,2008,3,GRA
CN-Du3,116.2809,42.0551,1300,2009,2010,2,GRA
CN-Ha2,101.3269,37.6086,3563,2003,2005,3,WET
CN-HaM,101.18,37.37,3516,2002,2004,3,GRA
CN-Qia,115.0581,26.7414,238,2003,2005,3,NF
CN-Sw2,111.8971,41.7902,1469,2010,2012,3,GRA
CZ-BK1,18.5369,49.5021,875,2004,2008,5,NF
CZ-BK2,18.5429,49.4944,855,2004,2006,3,GRA
CZ-KrP,15.078773,49.573257,534,2014,2020,7,CRO
CZ-Lnz,16.946331,48.68155,150,2015,2020,6,DBF
CZ-RAJ,16.6965125,49.4437236,649,2012,2020,9,NF
CZ-Stn,17.9699,49.035975,562,2010,2020,11,DBF
CZ-wet,14.7704,49.0247,426,2006,2014,9,WET
DE-Akm,13.6834,53.8662,-1,2009,2014,6,WET
DE-Geb,10.9143,51.1001,161.5,2001,2014,14,CRO
DE-Gri,13.5125,50.9495,385,2004,2014,11,GRA
DE-Hai,10.453,51.0792,430,2000,2012,13,DBF
DE-HoH,11.22235,52.08656,193,2015,2020,6,DBF
DE-Hte,12.176111,54.210278,1,2009,2018,10,WET
DE-Hzd,13.48978,50.96381,395,2010,2020,11,DBF
DE-Kli,13.5225,50.8929,478,2004,2014,11,CRO
DE-Lkb,13.3047,49.0996,1308,2009,2013,5,NF
DE-Lnf,10.3678,51.3282,451,2002,2012,10,DBF
DE-Obe,13.7196,50.7836,735,2008,2014,7,NF
DE-RuR,6.3041,50.6219,514.7,2011,2014,4,GRA
DE-RuS,6.4472,50.8659,102.8,2011,2014,4,CRO
DE-RuW,6.3309627,50.50493,610,2012,2020,9,NF
DE-Seh,6.4497,50.8706,103,2007,2010,4,CRO
DE-SfN,11.3275,47.8064,590,2012,2014,3,WET
DE-Spw,14.0337,51.8923,63,2010,2014,5,WET
DE-Tha,13.5669,50.9636,380,1996,2014,19,NF
DE-Zrk,12.889,53.8759,0,2013,2014,2,WET
DK-Eng,12.1918,55.6905,10,2005,2008,3,GRA
DK-Fou,9.5872,56.4842,51,2005,2005,1,CRO
DK-Gds,9.3341,56.0737,86,2020,2020,1,NF
DK-NuF,-51.3861,64.1308,50,2008,2014,7,WET
DK-Sor,11.6446,55.4859,40,1996,2014,19,DBF
DK-ZaF,-20.5545,74.4814,38,2008,2011,4,WET
DK-ZaH,-20.5503,74.4732,38,2000,2014,15,GRA
ES-Abr,-6.785881,38.701839,279,2015,2020,6,SAV
ES-Agu,-2.033208,36.940046,202,2006,2020,15,SH
ES-Amo,-2.2523,36.8336,58,2007,2009,2,SH
ES-Cnd,-3.227659,37.914998,366,2014,2020,7,SAV
ES-LgS,-2.9658,37.0979,2267,2007,2009,3,SH
ES-LJu,-2.7521,36.9266,1600,2004,2013,10,SH
ES-LM1,-5.778683,39.94269,266,2014,2020,7,SAV
ES-LM2,-5.775881,39.934592,270,2014,2020,7,SAV
ES-Ln2,-3.4758,36.9695,2249,2009,2009,1,SH
FI-Hyy,24.295,61.8475,181,1996,2014,19,NF
FI-Jok,23.5135,60.8986,109,2000,2003,4,CRO
FI-Ken,24.24301,67.98721,347,2018,2020,3,NF
FI-Let,23.9597,60.6418,119,2009,2012,3,NF
FI-Lom,24.2092,67.9972,274,2007,2009,3,WET
FI-Qvd,22.391607,60.295242,10,2018,2020,3,CRO
FI-Sii,24.19285,61.83265,160,2016,2020,5,WET
FI-Sod,26.6378,67.3619,180,2001,2014,14,NF
FI-Var,29.61,67.7549,395,2016,2020,5,NF
FR-Aur,1.106103,43.54965,250,2005,2020,16,CRO
FR-Bil,-0.956092,44.493652,39.18,2014,2020,7,NF
FR-EM2,3.02065,49.87211,85,2017,2018,2,CRO
FR-FBn,5.67865,43.24079,436,2008,2020,13,NF
FR-Fon,2.7801,48.4764,103,2005,2014,10,DBF
FR-Gri,1.9519,48.8442,125,2004,2013,10,CRO
FR-Hes,7.06465,48.6741,310,2014,2020,7,DBF
FR-Lam,1.237878,43.496437,181,2005,2020,16,CRO
